"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae undiff.","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae undiff.","Corylus","Ericaceae undiff.","Fraxinus","Juglans","Larix","Lycopodiaceae undiff.","Myricaceae undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Plantago","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rhamnaceae undiff.","Rosaceae undiff.","Rumex/Oxyria","Salix","Shepherdia","Thalictrum","Thuja","Tilia","Tsuga","Ulmus"
"34","15882","Warner Lake",46.11935,-92.03985,196.75,1098,1996,1320,1,5,15,1,6,0,6,4,32,0,0,0,0,3,0,1,1,3,1,0,0,16,259,95,0,10,0,3,1,25,2,0,0,1,0,0,0,0,1,1
"35","15882","Warner Lake",46.11935,-92.03985,202.75,1144,2057,1364,2,5,17,1,2,0,6,2,40,1,2,1,0,2,0,1,0,2,1,0,4,28,223,112,0,6,0,3,2,22,0,1,2,1,0,0,0,0,2,7
"36","15882","Warner Lake",46.11935,-92.03985,208.75,1190,2120,1409,0,2,20,5,8,0,5,1,45,0,0,0,0,2,0,2,2,3,1,1,2,10,209,125,0,5,0,0,0,34,0,0,1,0,0,0,1,0,2,5
"37","15882","Warner Lake",46.11935,-92.03985,214.75,1235,2181,1454,7,1,20,0,4,0,4,2,47,0,0,0,0,3,0,1,0,5,1,0,1,13,255,80,0,5,1,6,0,29,0,0,2,0,0,0,0,0,0,5
"38","15882","Warner Lake",46.11935,-92.03985,220.75,1284,2241,1499,2,2,20,3,1,0,5,0,45,0,1,1,1,2,0,2,0,3,1,0,5,10,177,119,0,8,0,4,1,49,2,1,4,3,0,0,0,0,3,8
"39","15882","Warner Lake",46.11935,-92.03985,226.75,1332,2299,1543,1,0,18,3,5,0,8,3,42,0,2,2,1,7,0,2,1,2,0,0,9,6,190,115,0,6,0,3,1,48,0,0,1,0,0,0,0,1,0,3
"40","15882","Warner Lake",46.11935,-92.03985,232.75,1382,2363,1591,4,2,16,1,5,0,9,1,50,0,1,0,0,3,0,9,0,2,1,0,2,3,195,139.5,0,6,0,3,0,33,1,0,4,0,0,0,0,0,1,7
"41","15882","Warner Lake",46.11935,-92.03985,238.75,1430,2422,1642,2,1,11,2,4,0,5,5,50,0,2,1,0,5,0,5,0,2,0,0,2,5,261,110,0,4,0,1,0,43,0,0,5,1,0,0,0,0,1,4
"42","15882","Warner Lake",46.11935,-92.03985,244.75,1480,2480,1694,1,1,18,4,7,0,4,3,41,0,0,2,0,2,0,6,0,1,1,0,4,8,219,88,0,10,0,4,0,61,0,0,4,2,0,0,2,0,0,12
"43","15882","Warner Lake",46.11935,-92.03985,250.75,1532,2543,1746,3,3,19,4,8,0,2,2,37,0,5,0,2,5,0,7,0,2,1,0,7,10,210,74,0,16,0,4,4,41,1,0,2,0,0,2,1,0,0,6
"44","15882","Warner Lake",46.11935,-92.03985,256.75,1587,2608,1797,0,2,14,2,3,0,5,0,44,0,1,0,0,7,0,3,1,3,0,0,4,14,243,92,0,13,0,0,1,35,0,0,0,0,0,1,0,0,1,5
"45","15882","Warner Lake",46.11935,-92.03985,262.75,1642,2670,1848,2,7,10,4,2,0,10,2,33,0,0,0,1,7,0,1,1,0,0,0,7,12,244,92.5,0,8,0,6,0,31,0,0,0,2,0,0,2,0,2,7
"46","15882","Warner Lake",46.11935,-92.03985,268.75,1700,2730,1899,3,5,5,1,2,0,8,4,45,0,2,1,0,2,1,4,3,2,0,1,3,15,238,83,0,8,0,0,0,38,0,0,1,1,0,1,0,0,2,8
