"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae subf. Asteroideae","Betula","Cannabaceae undiff.","Carya","Caryophyllaceae undiff.","Castanea","Cornus","Corylus","Cyperaceae","Epilobium","Ericaceae undiff.","Fagus","Fraxinus","Hamamelis","Ilex","Juniperus","Larix","Lycopodiaceae undiff.","Myrica","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rhus","Rosaceae undiff.","Rumex/Oxyria","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Vitaceae"
"1","14678","Isle au Haut North Hollow",44.0651,-68.6354,12,35,12,0,12,0,0,0,1,136,0,0,0,0,0,0,2,0,2,3,1,0,4,2,0,0,0,0,0,124,13,24.5,13.5,0,2,0,2,6,0,2,3,0,0,0,2,0,1,0
"2","14678","Isle au Haut North Hollow",44.0651,-68.6354,13,14,13,0,7,0,0,0,0,369,0,0,0,0,0,2,3,0,0,1,0,0,0,1,2,3,0,3,0,46.5,7,9,2,5,2,0,3,6,0,0,0,0,0,0,1,1,0,0
"3","14678","Isle au Haut North Hollow",44.0651,-68.6354,14,0,27,0,9,0,0,0,3,351,0,0,0,0,0,0,1,0,1,2,3,0,2,0,0,1,0,1,0,57.5,8.5,0,6.5,0,0,0,0,0,0,6,5,1,0,0,0,1,3,0
"4","14678","Isle au Haut North Hollow",44.0651,-68.6354,15,16,14,0,15,1,0,0,5,52,0,0,0,0,0,4,2,0,0,6,4,0,11,0,0,3,0,0,6,100,25,79.5,45.5,2,4,0,0,16,0,2,0,1,0,0,2,3,0,0
"5","14678","Isle au Haut North Hollow",44.0651,-68.6354,16,4,164,0,9,0,0,0,3,69,0,0,0,2,1,0,22,0,16,1,2,0,1,2,4,1,0,0,0,26,0,12.5,4.5,6,0,5,3,5,0,6,1,1,0,0,3,1,3,0
"6","14678","Isle au Haut North Hollow",44.0651,-68.6354,17,5,77,0,18,0,0,0,2,273,2,0,0,1,0,0,15,0,2,1,5,0,1,0,2,1,0,4,0,42.5,4,9,0,11,5,1,0,6,0,11,3,2,0,0,5,0,1,0
"7","14678","Isle au Haut North Hollow",44.0651,-68.6354,18,4,141,0,4,0,0,0,1,185,0,0,0,0,0,0,35,0,12,5,1,0,0,1,1,0,0,0,0,31.5,3.5,10,5.5,9,0,0,0,6,0,1,5,6,0,0,2,0,3,0
"8","14678","Isle au Haut North Hollow",44.0651,-68.6354,19,1,181,0,8,0,0,0,1,67,0,0,0,0,0,1,5,0,116,3,3,0,1,1,5,0,0,1,0,26.5,0,25,7,11,0,0,0,12,0,11,2,3,0,0,5,1,1,0
"9","14678","Isle au Haut North Hollow",44.0651,-68.6354,20,1,47,0,0,0,0,1,3,69,1,0,0,3,0,0,26,0,21,5,10,0,0,0,8,1,0,0,0,42,3,14,5,12,0,0,5,12,0,49,5,1,0,0,5,1,2,0
"10","14678","Isle au Haut North Hollow",44.0651,-68.6354,21,5,55,0,5,0,0,0,4,97,0,0,0,1,0,1,16,0,18,9,2,0,1,0,0,1,0,1,0,70,16,24.5,10.5,5,0,4,2,9,0,5,1,0,0,0,11,2,4,0
"11","14678","Isle au Haut North Hollow",44.0651,-68.6354,22,9,37,0,3,0,0,0,4,71,1,0,0,2,0,0,9,0,5,6,8,0,3,0,4,2,0,1,7,88,2,38,0,14,0,0,2,9,0,7,0,2,0,0,10,0,0,0
"12","14678","Isle au Haut North Hollow",44.0651,-68.6354,23,11,35,0,0,0,0,0,4,81,0,0,0,3,0,1,5,0,5,4,1,0,0,0,7,2,0,0,3,103,17.5,55,22.5,3,0,0,0,7,0,3,0,1,0,0,11,1,4,0
"13","14678","Isle au Haut North Hollow",44.0651,-68.6354,24,13,27,0,0,0,0,0,4,73,1,0,0,2,0,1,3,0,2,9,12,0,2,4,5,0,0,0,3,99,34,34,32,2,0,0,1,14,0,5,0,0,0,0,11,2,3,0
"14","14678","Isle au Haut North Hollow",44.0651,-68.6354,25,4,259,1,9,1,0,0,49,84,0,0,0,0,1,1,3,2,0,2,1,0,5,1,0,2,0,1,22,69.5,7,37,21,8,2,0,10,9,0,3,0,0,0,0,8,2,7,0
"15","14678","Isle au Haut North Hollow",44.0651,-68.6354,26,13,15,0,0,0,0,0,1,95,0,0,0,0,0,0,3,0,2,9,1,0,5,0,4,0,0,0,1,118.5,15,102,39,0,0,0,0,16,0,4,0,1,0,0,8,2,28,0
"16","14678","Isle au Haut North Hollow",44.0651,-68.6354,27,12,16,0,0,0,0,0,3,85,0,0,0,1,0,0,3,0,0,9,1,0,7,0,5,0,0,0,1,116,21,82,9,1,0,0,0,12,0,3,0,0,0,0,19,2,46,0
"17","14678","Isle au Haut North Hollow",44.0651,-68.6354,28,8,23,0,0,0,0,0,3,77,0,1,0,1,0,1,1,0,3,5,1,0,3,3,0,0,0,0,0,115,8.5,42.5,15,0,0,1,1,9,0,20,1,0,0,0,9,0,18,0
