"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Carya","Castanea","Ceanothus/Rhamnus","Corylus","Ericaceae undiff.","Fagus","Fraxinus","Galium","Ilex","Juniperus","Larix","Lonicera","Lycopodiaceae undiff.","Myrica","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Salix","Sambucus","Thalictrum","Tilia","Tsuga","Ulmus","Viburnum"
"36","14674","Blackwoods Hollow",44.313195,-68.22364,105,7993,8664,8276,3.5,1,10,0,0,0,0,0,6,0,133,0,0,0,0,1,0,0,0,0,1,1,0,1,89,0,0,4.5,3,25,12,8,7,4,14,1,10,0,0,0,0,1,0
"37","14674","Blackwoods Hollow",44.313195,-68.22364,110,8165,9290,8579,8.5,6,16,0,0,0,0,0,1,0,136,1,0,0,0,1,0,1,0,9,0,0,0,0,19,2,1,8.5,7,197.5,165,6,1,0,55,3,22,0,1,0,10,3,0
"38","14674","Blackwoods Hollow",44.313195,-68.22364,115,8368,9726,8942,11,8,12,0,0,0,0,0,1,0,88,0,1,0,0,1,0,2,0,10,0,0,0,1,13,1,0,7.5,5,205,76,4,1,0,47,0,3,0,0,0,6,2,0
"39","14674","Blackwoods Hollow",44.313195,-68.22364,120,8613,10085,9311,6.5,7,10,0,0,0,0,0,1,1,61,0,0,0,2,1,0,3,0,4,0,0,0,0,20,2,0,6,8,123,73,0,0,0,39,0,9,0,0,0,3,2,1
"40","14674","Blackwoods Hollow",44.313195,-68.22364,125,8910,10385,9684,5.5,3,21,0,1,0,0,1,2,0,150,0,0,0,0,3,0,1,0,8,3,0,0,3,35,3,0,5.5,3,177.5,160,8,0,1,33,3,34,0,0,0,4,3,0
"41","14674","Blackwoods Hollow",44.313195,-68.22364,130,9255,10643,10061,8,1,15,0,0,0,0,0,2,0,130,1,0,0,2,2,0,1,0,3,0,0,0,0,18,3,0,3,0,100.5,60,1,0,1,21,2,13,0,0,0,0,0,0
"42","14674","Blackwoods Hollow",44.313195,-68.22364,135,9631,10883,10413,5,9,16,0,0,1,0,0,0,0,89,0,0,0,2,4,0,0,0,3,0,0,0,0,89,1,4,13,27,139,100,0,0,0,33,6,38,0,1,0,4,0,0
"43","14674","Blackwoods Hollow",44.313195,-68.22364,140,9832,11108,10603,72,3,11,0,0,0,0,0,0,0,45,0,0,0,0,5,0,1,0,1,1,0,0,11,3,0,1,50.5,2,27.5,3,3,0,4,21,4,3,0,0,0,2,1,1
"44","14674","Blackwoods Hollow",44.313195,-68.22364,145,10013,11319,10755,34,5,11,1,0,0,0,0,1,0,38,0,0,0,1,2,0,1,0,0,1,0,0,5,11,5,2,24,4,42,5,6,0,4,9,2,3,0,0,0,2,3,0
"45","14674","Blackwoods Hollow",44.313195,-68.22364,150,10194,11521,10904,7.5,5,2,0,0,0,0,0,0,0,16,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,11,0,19,0,2,0,0,3,13,1,0,0,0,2,0,0
"46","14674","Blackwoods Hollow",44.313195,-68.22364,155,10372,11712,11056,9,1,8,0,0,0,0,0,4,0,20,0,0,0,1,0,0,0,0,1,2,0,0,7,3,0,0,8,3,21.5,3,3,7,0,6,4,6,0,0,0,1,0,0
"47","14674","Blackwoods Hollow",44.313195,-68.22364,160,10561,11902,11206,3,0,12,0,0,0,0,0,2,0,43,0,0,0,1,1,0,0,0,0,2,0,0,16,3,0,0,61,3,29.5,2,13,1,0,7,3,12,0,0,0,0,1,0
"48","14674","Blackwoods Hollow",44.313195,-68.22364,165,10740,12076,11356,2.5,1,6,0,1,0,0,0,1,0,22,0,0,0,0,1,0,0,0,0,0,0,0,14,29,0,0,62.5,4,26,1,16,0,4,3,6,20,0,0,0,0,0,0
"49","14674","Blackwoods Hollow",44.313195,-68.22364,170,10933,12247,11504,1.5,0,6,0,1,0,0,0,0,0,153,0,0,0,1,2,0,4,0,0,0,0,0,15,16,1,0,32.5,2,26,4,16,0,2,11,4,57,0,1,0,2,1,0
"50","14674","Blackwoods Hollow",44.313195,-68.22364,173,11065,12324,11591,0,0,1,0,0,0,0,0,1,0,139,0,0,0,2,3,0,2,0,0,0,0,0,20,20,0,0,44,1,17.5,3,8,0,0,3,7,46,0,0,0,2,1,0
"51","14674","Blackwoods Hollow",44.313195,-68.22364,179,11286,12527,11771,0,1,13,0,0,0,0,0,0,0,154,0,0,0,0,72,0,0,0,1,0,0,0,9,4,1,0,71,0,25.5,2,7,0,0,3,0,2,0,0,0,4,1,0
