"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Aquifoliaceae undiff.","Artemisia","Asteraceae undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae undiff.","Ericaceae undiff.","Fagus","Fraxinus","Juglans","Larix","Myricaceae undiff.","Nyssa","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Plantago","Platanus","Poaceae undiff.","Populus","Quercus","Rumex/Oxyria","Salix","Tilia","Tsuga","Ulmus"
"38","GS8","Stockton Bog",46.927372,-90.557034,480.5,3946,4909,4437,1,4,22,1,1,0,3,3,38,0,0,1,7,0,0,5,0,0,1,0,1,0,46,210,0,1,5,0,24,0,3,1,5,4
"39","GS8","Stockton Bog",46.927372,-90.557034,500.5,4104,5056,4584,0,1,12,3,1,0,3,3,34,0,0,0,5,0,0,3,0,3,1,0,2,3,48,242,0,1,3,0,22,0,1,0,0,2
"40","GS8","Stockton Bog",46.927372,-90.557034,550.5,4504,5421,4953,7,3,19,3,8,0,4,3,19,0,0,1,4,0,0,1,1,0,0,0,13,1,57,206,0,0,5,4,26,0,0,1,1,3
"41","GS8","Stockton Bog",46.927372,-90.557034,610.5,4991,5858,5394,2,4,8,2,3,0,5,1,19,0,0,0,1,0,0,2,1,1,0,0,5,0,43,212,0,0,5,0,23,0,1,0,0,4
"42","GS8","Stockton Bog",46.927372,-90.557034,632.5,5172,6016,5555,0,3,10,0,6,0,4,1,22,0,0,0,4,0,3,1,0,0,0,0,8,0,48,139,0,1,0,1,16,3,3,0,0,4
"43","GS8","Stockton Bog",46.927372,-90.557034,650.5,5319,6152,5687,2,1,2,1,0,0,2,1,5,0,0,0,1,0,0,1,0,0,0,0,1,0,83,236,0,0,2,0,2,0,1,0,0,1
"44","GS8","Stockton Bog",46.927372,-90.557034,690.5,5651,6438,5982,0,0,4,0,1,0,1,1,13,0,0,0,4,0,0,0,0,1,0,0,4,0,90,163,0,0,2,0,7,0,2,0,0,3
"45","GS8","Stockton Bog",46.927372,-90.557034,725.5,5951,6692,6235,1,4,9,2,0,0,3,7,36,0,0,0,13,0,0,4,0,0,0,0,11,0,48,137,0,0,3,0,27,0,2,0,0,6
"46","GS8","Stockton Bog",46.927372,-90.557034,745.5,6086,6877,6389,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,217,115,0,0,0,0,1,0,0,0,0,0
"47","GS8","Stockton Bog",46.927372,-90.557034,765.5,6216,7076,6547,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,90,254,0,0,3,0,0,0,0,0,0,0
"48","GS8","Stockton Bog",46.927372,-90.557034,785.5,6345,7269,6704,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,107,359,0,0,2,0,4,0,0,0,0,0
"49","GS8","Stockton Bog",46.927372,-90.557034,805.5,6476,7467,6863,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,215,195,0,0,0,0,0,0,1,0,0,0
"50","GS8","Stockton Bog",46.927372,-90.557034,846.5,6747,7865,7186,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,66,226,0,0,0,0,1,1,1,0,0,1
"51","GS8","Stockton Bog",46.927372,-90.557034,895.5,7089,8332,7566,0,0,2,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,64,348,0,0,0,0,0,0,0,0,0,0
"52","GS8","Stockton Bog",46.927372,-90.557034,905.5,7165,8434,7662,1,4,2,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3,0,118,276,0,0,0,2,6,0,0,0,0,0
"53","GS8","Stockton Bog",46.927372,-90.557034,915.5,7245,8549,7765,2,2,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,290,229,0,0,1,0,3,0,0,0,0,0
