"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Betula","Carya","Caryophyllaceae undiff.","Celtis","Corylus","Diphasiastrum","Epilobium","Ericaceae undiff.","Fagus","Fraxinus","Galium","Humulus/Cannabis","Huperzia","Ilex","Iva","Juglans","Larix","Lycopodiaceae undiff.","Myricaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rubus","Rumex/Oxyria","Salix","Sarcobatus","Thalictrum","Thuja","Tilia","Tsuga","Ulmus","Vitis","Xanthium"
"24","15489","Ferry Lake",46.013,-92.125,112.5,660,1059,851,2,11,16,2,5,7,6,77,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,7,6,133,49,240,0,0,8,1,1,82,0,0,0,0,0,0,1,0,5,7,2,0
"25","15489","Ferry Lake",46.013,-92.125,115.5,692,1093,889,3,4,26,4,5,8,2,70,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,2,1,1,0,3,8,108,44,178,0,0,7,2,0,79,0,0,0,1,0,0,2,1,3,6,1,0
"26","15489","Ferry Lake",46.013,-92.125,117.5,721,1111,914,3,3,34,1,8,5,4,74,0,0,0,3,0,0,0,0,4,0,1,1,0,1,1,1,0,2,0,2,9,123,84,151,0,0,5,6,1,77,0,0,0,4,0,2,7,1,5,5,1,1
"27","15489","Ferry Lake",46.013,-92.125,120.5,755,1145,951,2,1,16,4,9,12,2,73,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,3,7,99,58,200,0,0,7,1,1,63,0,0,0,3,0,0,5,0,3,7,0,0
"28","15489","Ferry Lake",46.013,-92.125,123.5,798,1171,989,1,2,16,2,3,5,2,41,0,0,0,1,0,0,1,0,3,0,0,0,0,2,1,0,0,0,0,1,2,81,46,100,0,0,3,4,0,52,0,0,0,1,0,0,7,1,4,3,0,0
"29","15489","Ferry Lake",46.013,-92.125,126.5,841,1200,1025,2,0,23,4,5,8,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,74,21,190,0,0,3,2,0,49,0,0,0,0,0,0,0,0,0,2,0,0
"30","15489","Ferry Lake",46.013,-92.125,129.5,880,1228,1063,2,7,31,3,4,10,3,78,1,0,0,3,0,0,0,1,4,1,0,0,0,0,0,1,0,0,0,2,4,123,60,141,0,2,7,4,0,68,0,0,0,3,0,3,8,0,1,8,0,0
"31","15489","Ferry Lake",46.013,-92.125,132.5,933,1250,1098,3,4,28,3,4,8,6,63,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,60,35,183,0,0,6,2,1,27,0,0,0,2,0,0,2,0,3,10,0,0
"32","15489","Ferry Lake",46.013,-92.125,135.5,973,1279,1135,1,2,25,1,10,9,3,68,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,8,5,71,29,146,0,0,5,2,0,62,0,0,0,2,0,0,3,0,2,5,0,0
"33","15489","Ferry Lake",46.013,-92.125,137.5,1002,1304,1161,3,3,26,3,12,17,2,70,0,0,0,4,0,0,0,0,3,1,0,0,0,1,0,2,1,0,0,0,7,146,52,139,0,0,10,5,0,82,0,0,0,1,0,2,3,0,0,7,0,0
"34","15489","Ferry Lake",46.013,-92.125,140.5,1036,1362,1201,2,4,19,3,11,11,1,66,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,3,100,34,203,0,0,10,2,3,95,0,0,0,4,0,0,4,2,0,7,0,1
"35","15489","Ferry Lake",46.013,-92.125,143.5,1077,1403,1242,0,6,9,1,4,8,4,47,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,4,65,52,114,0,0,9,0,1,55,0,0,0,1,0,0,5,0,1,5,0,0
"36","15489","Ferry Lake",46.013,-92.125,146.5,1117,1451,1282,2,1,29,1,12,4,2,73,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,61,31,209,0,0,5,0,0,68,0,0,0,0,1,0,3,1,0,6,0,0
"37","15489","Ferry Lake",46.013,-92.125,149.5,1153,1501,1322,1,2,35,3,9,16,8,117,1,0,0,4,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,2,1,52,27,133,0,0,11,7,1,53,0,0,0,2,0,0,5,2,1,7,0,0
"38","15489","Ferry Lake",46.013,-92.125,152.5,1200,1540,1361,3,0,39,6,3,13,2,94,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,34,5,135,0,0,5,3,0,45,0,0,0,1,0,1,4,0,0,2,0,1
"39","15489","Ferry Lake",46.013,-92.125,154.5,1223,1573,1388,1,1,26,4,22,11,4,61,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,7,5,28,14,145,0,0,8,4,0,81,0,0,0,0,0,0,3,0,0,5,0,0
"40","15489","Ferry Lake",46.013,-92.125,155.5,1239,1588,1401,1,0,14,1,2,0,4,30,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,4,63,0,0,4,4,0,44,0,0,0,1,0,0,0,2,0,3,0,0
"41","15489","Ferry Lake",46.013,-92.125,156.5,1261,1599,1414,1,0,29,3,7,9,4,78,1,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,2,16,6,96,0,0,2,2,1,170,0,0,0,2,0,0,4,1,1,9,0,0
"42","15489","Ferry Lake",46.013,-92.125,157.5,1279,1613,1427,2,1,27,2,10,12,8,73,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,37,21,82,0,1,6,3,0,187,0,0,0,1,0,1,3,0,2,5,0,2
"43","15489","Ferry Lake",46.013,-92.125,160.5,1321,1668,1469,1,3,25,2,7,6,2,78,1,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,1,22,15,122,0,0,3,1,2,137,0,0,0,1,0,2,3,3,0,9,1,0
"44","15489","Ferry Lake",46.013,-92.125,163.5,1366,1719,1519,0,4,25,0,6,8,4,54,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,19,17,59,1,0,3,0,0,99,0,0,0,0,0,0,7,0,0,6,0,0
"45","15489","Ferry Lake",46.013,-92.125,166.5,1407,1787,1568,2,3,2,4,6,6,4,42,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,2,4,25,14,134,0,0,14,0,1,122,0,0,0,0,0,1,1,0,0,11,0,0
"46","15489","Ferry Lake",46.013,-92.125,169.5,1439,1861,1621,1,1,22,2,7,9,3,66,1,0,0,5,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,2,32,22,114,0,0,10,4,0,102,0,0,0,0,0,2,6,1,0,11,0,0
"47","15489","Ferry Lake",46.013,-92.125,172.5,1486,1921,1676,1,4,31,2,11,10,7,106,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,1,8,28,13,128,0,0,9,5,2,89,0,0,0,2,0,0,2,1,1,9,0,0
"48","15489","Ferry Lake",46.013,-92.125,175.5,1524,1994,1731,2,2,34,1,13,8,11,78,1,0,0,14,0,0,0,0,5,0,0,0,0,0,1,1,1,0,0,5,6,29,15,136,0,0,9,1,1,55,0,0,0,2,0,0,7,3,0,12,0,0
"49","15489","Ferry Lake",46.013,-92.125,177.5,1558,2026,1769,0,4,18,2,9,6,1,70,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,26,17,111,0,1,6,3,0,95,0,0,0,0,0,0,1,1,1,9,0,2
"50","15489","Ferry Lake",46.013,-92.125,180.5,1597,2093,1824,1,3,35,3,10,5,6,67,0,0,0,5,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,5,2,34,17,136,0,0,8,2,2,88,0,0,0,3,0,1,5,0,1,11,0,0
"51","15489","Ferry Lake",46.013,-92.125,183.5,1647,2142,1881,2,4,24,2,5,7,4,56,0,0,0,6,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,5,0,20,39,97,0,0,8,2,1,58,0,0,0,2,0,0,4,1,0,10,0,1
"52","15489","Ferry Lake",46.013,-92.125,186.5,1699,2198,1936,3,6,22,3,5,8,4,57,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,8,5,30,30,150,0,0,6,3,1,59,1,0,0,1,0,1,4,2,2,9,0,0
"53","15489","Ferry Lake",46.013,-92.125,189.5,1746,2256,1994,2,3,15,0,8,8,1,91,0,0,0,3,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,3,1,47,33,115,0,0,6,4,1,78,0,0,0,0,0,0,5,1,0,5,1,1
"54","15489","Ferry Lake",46.013,-92.125,192.5,1808,2310,2048,1,3,31,2,5,7,2,80,0,1,0,4,1,0,0,0,7,0,0,0,0,2,0,1,1,0,0,3,2,28,18,155,0,0,4,3,0,65,0,0,0,0,0,0,0,0,1,12,0,1
"55","15489","Ferry Lake",46.013,-92.125,195.5,1861,2373,2103,1,8,28,2,7,9,2,105,0,0,0,2,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,7,1,33,19,101,0,0,7,4,0,66,0,0,0,1,0,0,10,0,1,6,0,0
"56","15489","Ferry Lake",46.013,-92.125,198.5,1930,2429,2157,3,3,35,4,10,7,5,94,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,4,25,16,120,0,0,16,1,0,64,0,0,0,1,0,1,2,0,0,8,0,0
