"","dataset.id","site.name","lat","long","depth","Acer","Alismataceae","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Asteraceae undiff.","Betula","Botrychium","Brassicaceae","Campanulaceae undiff.","Cannabaceae undiff.","Carya","Castanea","Ceanothus/Rhamnus","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae undiff.","Cyperaceae","Dryopteris","Elaeagnaceae undiff.","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Galium","Ilex","Impatiens","Iva","Juglans","Larix","Liquidambar","Lycopodiaceae undiff.","Mentha","Moraceae undiff.","Morus","Myrica","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Oxalidaceae","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Polygonaceae undiff.","Polypodiophyta undiff.","Polypodium","Populus","Potentilla","Pteridium","Quercus","Ranunculaceae undiff.","Rosaceae undiff.","Rumex/Oxyria","Salix","Salsola","Sambucus","Sarcobatus","Saxifragaceae undiff.","Stachys","Thalictrum","Tilia","Tsuga","Ulmus","Urticaceae","Viburnum","Vitaceae","Xanthium","Zanthoxylum"
"35","19937","Spicer Lake",41.75738,-86.52208,272.5,29,0,0,1,4,0,0,4,1,0,0,0,0,14,0,0,0,0,0,2,9,5,0,0,2,0,47,5,0,0,0,0,6,11,0,2,0,0,0,0,2,0,1,0,0,0,0,0.5,0,0,5,3,0,1,0,1,0,77,0,0,11,0,0,0,0,0,0,0,2,0,28,0,0,2,0,0
"36","19937","Spicer Lake",41.75738,-86.52208,280.5,30,0,1,1,3,0,0,0,3,0,0,0,0,15,0,0,0,0,2,3,8,4,0,0,0,0,50,15,0,1,0,0,7,10,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,2,2,0,1,2,0,0,70,0,0,6,0,0,0,0,0,1,0,4,0,31,0,0,0,0,0
"37","19937","Spicer Lake",41.75738,-86.52208,288.5,27,0,1,1,4,1,2,3,2,0,0,0,0,18,0,0,0,0,0,1,4,6,0,0,1,0,43,13,0,0,0,0,9,12,0,0,0,0,0,0,17,0,2,0,0,0,0,0,2,0,4,1,0,0,0,0,0,62,0,0,9,0,0,0,0,0,1,0,4,0,21,0,0,0,0,0
"38","19937","Spicer Lake",41.75738,-86.52208,296.5,26,0,1,2,6,0,1,5,1,0,0,0,0,12,0,0,0,0,0,3,5,5,0,0,0,0,31,13,0,0,0,0,7,11,0,0,0,0,0,0,1,3,2,0,2,0,0,0,0,0,7,0,0,0,2,0,0,90,0,0,10,1,0,0,0,0,1,0,2,0,17,0,0,0,1,0
"39","19937","Spicer Lake",41.75738,-86.52208,304.5,45,0,1,2,6,0,1,2,0,0,0,0,0,19,0,0,1,0,1,4,6,2,0,0,0,0,38,24,1,0,0,0,11,6,0,0,0,0,0,0,3,2,3,0,0,0,0,0.5,3,0,4,0,0,0,0,0,0,74,0,0,3,0,0,0,0,0,0,0,2,0,22,0,0,1,0,0
"40","19937","Spicer Lake",41.75738,-86.52208,312.5,35,0,0,4,4,1,0,0,0,0,0,0,0,20,0,0,1,0,0,2,5,4,0,0,0,0,33,22,0,0,0,0,7,7,0,0,0,0,0,0,4,0,3,0,0.5,0,0,0,2,0,1,0,0,0,1,0,1,67,1,0,3,1,0,0,0,0,1,0,2,0,19,0,0,0,0,0
"41","19937","Spicer Lake",41.75738,-86.52208,320.5,42,0,0,0,6,3,0,1,0,1,0,0,0,8,0,0,0,0,3,4,4,3,6,0,0,0,20,18,1,0,0,0,3,10,0,0,0,0,0,0,17,0,2,0,0,0,0,1,6,0,2,0,0,0,1,0,0,68,1,0,4,1,0,0,0,0,1,0,6,0,16,0,0,0,0,0
"42","19937","Spicer Lake",41.75738,-86.52208,328.5,26,0,0,5,4,1,0,1,1,0,0,0,0,6,0,0,1,0,0,3,1,4,2,0,2,0,27,22,2,0,0,0,5,11,0,0,0,0,0,0,9,2,2,0,1.5,1,0,0,1,0,2,0,0,2,0,1,0,73,0,0,3,1,0,1,0,0,0,0,3,0,18,0,0,0,0,0
"43","19937","Spicer Lake",41.75738,-86.52208,336.5,21,0,0,4,3,0,0,1,1,0,0,0,0,6,0,0,2,0,0,0,3,1,14,0,0,0,15,25,0,0,0,0,4,4,0,0,0,0,0,0,6,1,0,0,0,1,1,0.5,0,0,3,0,0,0,1,0,0,94,0,0,11,1,0,0,0,0,1,0,2,0,22,0,0,0,0,0
"44","19937","Spicer Lake",41.75738,-86.52208,344.5,28,0,3,3,10,0,0,1,1,0,1,0,0,12,0,0,0,0,0,2,4,2,11,0,0,0,21,19,0,0,0,0,5,5,0,0,0,0,0,0,3,2,3,0,2.5,1,0,0,1,0,2,1,0,0,0,0,0,100,1,0,5,0,0,0,0,0,1,0,1,0,17,0,0,1,0,0
"45","19937","Spicer Lake",41.75738,-86.52208,352.5,25,0,0,1,1,1,0,0,1,0,0,0,0,12,0,0,2,0,0,4,6,0,4,0,0,0,11,20,2,0,0,1,10,2,0,2,0,0,0,0,6,0,0,0,2,0,0,1,1,0,5,1,0,0,1,0,0,90,0,1,7,1,0,0,0,0,0,0,3,0,18,0,0,0,0,0
