"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Betula","Carya","Corylus","Cupressaceae undiff.","Cyperaceae","Ericaceae undiff.","Fagus","Fraxinus","Huperzia","Juglans","Larix","Lycopodiaceae undiff.","Menyanthes","Myricaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Poaceae undiff.","Pteridium","Quercus","Salix","Tilia","Tsuga","Ulmus"
"37","20397","South Rhody peatland",46.565795,-86.0752,183.5,1,1,2,0,3,0,60,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,6,27,79,17,0,1,7,0,0,3,0
"38","20397","South Rhody peatland",46.565795,-86.0752,187.5,0,2,0,1,0,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,47,88,16,0,0,5,0,0,5,0
"39","20397","South Rhody peatland",46.565795,-86.0752,189.5,0,0,0,0,0,0,23,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,43,97,21,1,0,5,0,0,11,0
"40","20397","South Rhody peatland",46.565795,-86.0752,196.5,0,2,1,1,2,0,54,1,0,1,2,2,3,0,0,0,0,0,0,0,0,0,6,21,85,19,0,0,5,0,0,6,1
"41","20397","South Rhody peatland",46.565795,-86.0752,200.5,0,0,0,1,1,0,28,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,9,34,90,24,0,1,8,0,0,10,1
"42","20397","South Rhody peatland",46.565795,-86.0752,206.5,1,0,0,1,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,124,14,0,0,4,0,0,3,1
"43","20397","South Rhody peatland",46.565795,-86.0752,210.5,1,3,0,2,0,0,44,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,28,84,30,0,1,5,0,0,5,1
"44","20397","South Rhody peatland",46.565795,-86.0752,216.5,0,1,0,0,0,0,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,39,92,32,0,0,6,0,0,4,1
"45","20397","South Rhody peatland",46.565795,-86.0752,220.5,1,1,1,1,2,0,24,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,66,98,28,0,0,3,0,0,2,1
"46","20397","South Rhody peatland",46.565795,-86.0752,226.5,0,0,0,1,0,0,26,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,37,79,47,1,0,6,0,0,2,0
"47","20397","South Rhody peatland",46.565795,-86.0752,230.5,0,5,0,1,1,0,34,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,50,78,65,0,1,6,0,0,4,4
"48","20397","South Rhody peatland",46.565795,-86.0752,236.5,0,4,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,76,39,0,1,6,0,0,0,0
"49","20397","South Rhody peatland",46.565795,-86.0752,240.5,0,2,0,0,2,0,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,67,77,53,1,0,3,0,0,2,1
"50","20397","South Rhody peatland",46.565795,-86.0752,246.5,1,1,0,2,2,0,27,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,4,78,50,37,0,0,5,0,0,2,0
"51","20397","South Rhody peatland",46.565795,-86.0752,250.5,1,0,0,2,1,0,32,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,109,38,74,0,1,1,0,0,1,1
"52","20397","South Rhody peatland",46.565795,-86.0752,256.5,0,5,0,0,1,0,28,0,1,0,2,1,2,0,0,0,1,1,0,0,0,0,2,41,79,44,0,0,11,0,1,2,1
"53","20397","South Rhody peatland",46.565795,-86.0752,260.5,2,0,0,1,0,0,17,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3,68,80,45,1,0,7,0,3,1,0
"54","20397","South Rhody peatland",46.565795,-86.0752,266.5,1,0,1,0,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,56,74,35,0,0,13,0,0,2,2
"55","20397","South Rhody peatland",46.565795,-86.0752,268.5,1,3,1,0,0,0,40,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,68,62,48,2,26,15,0,0,1,3
"56","20397","South Rhody peatland",46.565795,-86.0752,270.5,1,3,0,2,0,0,24,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,2,57,80,55,3,2,13,0,0,2,2
"57","20397","South Rhody peatland",46.565795,-86.0752,272.5,1,6,1,0,0,0,29,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,69,76,87,2,3,7,0,0,1,3
"58","20397","South Rhody peatland",46.565795,-86.0752,274.5,0,1,0,3,0,0,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,83,79,43,0,0,7,0,0,0,0
