"","dataset.id","site.name","lat","long","depth","Acer","Adiantum","Alnus","Amaranthaceae undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae subf. Asteroideae","Betula","Bidens","Botrychium","Brassicaceae","Campanula","Carya","Caryophyllaceae undiff.","Ceanothus/Rhamnus","Celtis","Corylus","Cyatheaceae","Cyperaceae","Diphasiastrum","Ephedra","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Huperzia","Ilex","Impatiens","Iva","Juglans","Juniperus","Larix","Liliaceae","Lycopodiaceae undiff.","Myrica","Osmundaceae.undiff.","Ostrya/Carpinus","Persicaria","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Platanus","Poaceae undiff.","Populus","Potentilla","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Sarcobatus","Taxus","Thalictrum","Tilia","Tsuga","Ulmus","Urticaceae","Violaceae undiff.","Vitis","Xanthium"
"25","15740","Hemlock Lake",46.3073,-91.19829,195,16,0,30,2,5,1,0,6,6,70,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,4,0,0,0,0,1,1,4,0,0,0,0,11,0,1,2,48,296,1,9,5,0,0,47,0,0,0,1,0,0,0,0,2,0,0,0,0
"26","15740","Hemlock Lake",46.3073,-91.19829,205,8,0,19,0,6,0,0,3,12,54,0,0,0,0,1,0,0,0,2,0,11,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,13,0,2,3,47,309,1,3,5,0,0,26,0,0,1,0,0,0,0,2,5,0,0,0,0
"27","15740","Hemlock Lake",46.3073,-91.19829,215,4,0,36,0,5,1,0,9,9,82,0,0,0,0,1,0,0,1,0,0,11,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,10,0,3,5,45,356,1,15,10,0,1,39,0,0,2,0,1,0,1,0,8,0,0,0,0
"28","15740","Hemlock Lake",46.3073,-91.19829,225,9,0,10,3,5,0,0,3,4,40,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,3,0,0,0,0,1,2,0,0,1,0,0,7,0,1,5,45,231,0,10,2,1,1,43,0,0,1,0,0,0,1,0,3,0,0,0,0
"29","15740","Hemlock Lake",46.3073,-91.19829,235,4,0,29,1,4,0,0,3,9,51,0,0,0,0,1,0,0,0,6,0,7,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,5,0,2,11,39,267,0,6,2,0,0,38,0,0,1,0,0,0,0,0,3,0,0,0,0
"30","15740","Hemlock Lake",46.3073,-91.19829,245,1,0,30,4,4,0,0,3,4,42,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,1,3,0,0,1,0,0,4,0,1,13,38,262,0,10,5,0,3,39,0,0,1,0,0,0,2,0,3,0,0,0,0
"31","15740","Hemlock Lake",46.3073,-91.19829,255,1,0,53,2,6,0,0,5,6,44,0,0,0,0,2,0,0,0,4,0,10,0,0,0,0,0,4,0,0,0,1,1,2,2,0,0,0,0,8,0,0,16,35,263,1,7,3,0,6,28,0,0,0,0,0,0,3,0,4,0,0,0,0
"32","15740","Hemlock Lake",46.3073,-91.19829,275,0,0,6,1,4,0,0,0,9,14,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,10,40,230,0,6,1,0,1,14,0,0,0,0,0,0,0,0,4,0,0,0,0
"33","15740","Hemlock Lake",46.3073,-91.19829,295,3,0,15,2,2,0,0,4,4,82,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,5,0,1,12,16,172,0,8,1,0,0,30,0,0,1,0,0,0,2,0,3,0,0,0,0
"34","15740","Hemlock Lake",46.3073,-91.19829,305,0,0,22,3,5,0,0,3,4,24,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,1,4,0,0,16,35,239,2,3,4,0,3,29,0,0,0,0,0,0,0,0,7,0,0,0,0
"35","15740","Hemlock Lake",46.3073,-91.19829,315,3,0,16,2,2,0,0,6,2,30,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,10,0,1,14,36,216,0,5,1,0,3,23,0,0,0,0,0,0,2,0,1,0,0,0,0
"36","15740","Hemlock Lake",46.3073,-91.19829,335,0,0,19,6,6,0,0,5,9,29,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,10,1,1,2,44,214,2,12,3,0,2,28,0,0,1,0,0,0,0,1,3,0,0,0,0
"37","15740","Hemlock Lake",46.3073,-91.19829,355,6,0,34,2,5,0,0,7,6,39,0,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,3,0,0,0,1,1,4,0,0,0,0,0,11,0,0,15,35,216,2,9,2,0,6,44,0,0,0,0,0,0,1,0,7,0,0,0,0
"38","15740","Hemlock Lake",46.3073,-91.19829,375,3,0,21,2,1,0,0,5,6,20,0,0,0,0,2,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,6,45,260,0,8,4,0,4,21,0,0,0,0,0,0,0,0,9,0,0,0,0
"39","15740","Hemlock Lake",46.3073,-91.19829,395,3,0,13,1,7,0,0,6,15,12,0,0,0,0,0,0,1,0,0,1,23,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,4,6,44,269,0,13,5,0,0,15,0,0,1,0,0,0,0,0,5,0,0,0,0
"40","15740","Hemlock Lake",46.3073,-91.19829,415,0,0,16,2,15,0,0,11,14,39,0,0,0,0,1,0,1,0,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,10,23,268,0,16,0,0,22,7,0,0,1,0,0,0,0,0,15,0,0,0,0
"41","15740","Hemlock Lake",46.3073,-91.19829,425,1,0,40,5,8,0,0,9,2,17,0,0,0,0,0,0,0,0,2,0,36,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,5,11,35,249,0,23,0,0,0,14,0,0,0,0,0,0,0,0,7,0,0,0,0
"42","15740","Hemlock Lake",46.3073,-91.19829,430,0,0,16,8,5,0,0,3,7,29,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,1,20,10,244,0,15,2,0,0,8,0,0,1,2,0,0,0,0,9,0,0,0,0
"43","15740","Hemlock Lake",46.3073,-91.19829,435,0,0,9,1,6,0,0,1,2,7,0,1,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,8,0,265,0,20,2,0,1,3,0,0,0,0,0,0,0,0,10,0,0,0,0
"44","15740","Hemlock Lake",46.3073,-91.19829,440,0,0,0,2,4,0,0,5,6,11,0,2,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,331,0,17,0,0,0,4,0,0,0,0,0,0,1,0,13,0,0,0,0
"45","15740","Hemlock Lake",46.3073,-91.19829,445,1,0,17,3,5,0,0,7,11,13,0,0,0,0,1,1,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,1,6,0,0,243,0,17,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0
"46","15740","Hemlock Lake",46.3073,-91.19829,450,0,2,6,2,5,0,0,2,3,11,0,1,0,0,1,0,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,16,0,0,280,0,23,0,0,1,8,0,0,0,0,0,0,0,0,19,0,0,0,0
"47","15740","Hemlock Lake",46.3073,-91.19829,455,2,0,6,2,0,0,0,1,4,27,0,0,0,0,2,0,0,0,3,0,66,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,5,42,0,0,323,0,26,0,0,0,15,0,0,1,0,0,0,0,0,26,0,0,0,0
"48","15740","Hemlock Lake",46.3073,-91.19829,460,0,0,5,2,3,0,0,8,1,21,0,1,0,0,2,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,70,0,0,199,0,25,0,0,0,22,0,0,0,0,0,0,0,0,21,0,0,0,0
"49","15740","Hemlock Lake",46.3073,-91.19829,465,2,0,10,3,1,0,0,15,4,49,0,0,0,0,2,0,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,93,0,0,36,0,35,3,0,0,18,0,0,1,0,0,0,0,0,25,0,0,0,0
"50","15740","Hemlock Lake",46.3073,-91.19829,470,0,0,8,3,3,0,0,16,6,80,0,3,0,1,0,3,0,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,134,0,0,6,0,40,0,0,0,10,0,0,2,0,0,0,0,0,6,0,0,0,0
